parameter_id,label,africa,asia,ghana,pakistan,zambia,zimbabwe,rwanda,drc,liberia,bangladesh,kenya,mozambique,burkina faso,côte d'ivoire,guinea-bissau,niger,sierra leone,uganda,nepal,malawi
pregnancyOutcomes.nUnintendedPregnancies,Number of unintended pregnancies,"200,000","1,120,883","1,295,400","1,120,883","439,000","270,000","225,400","200,000","200,000","1,120,883","200,000","200,000","200,000","200,000","200,000","200,000","200,000",660141,456965,"200,000"
pregnancyOutcomes.pResultingInMiscarriage,Proportion of pregnancies resulting in miscarriage,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15.00%,9.00%,15%
demand.pDemandForAbortion,Proportion of unintended pregnancies for which abortion is sought,35%,64%,36%,64%,28%,25%,29%,35%,35%,60%,38%,35%,35%,37%,59%,31%,35%,33.00%,69.00%,35%
demand.pPreferenceForFacility,Proportion of women seeking an induced abortion whose preference is to initiate abortion in a facility,30%,45%,37%,45%,30%,30%,30%,30%,30%,45%,30%,30%,30%,30%,30%,30%,30%,88.00%,48.00%,30%
accessFacility.pNoLegalRestrictions,Proportion of unintended pregnancies for which abortion is not legally restricted,8%,73%,65%,73%,8%,8%,8%,8%,8%,73%,8%,8%,8%,8%,8%,8%,8%,8.00%,73%,8%
accessFacility.pWithinDistance,Proportion of women within accessible distance of a facility,90%,92%,98%,40%,82%,80%,90%,90%,90%,92%,90%,90%,90%,90%,90%,90%,90%,64.00%,19.20%,90%
accessFacility.pFacilitiesOfferingService,Proportion of facilities offering abortion services,35%,40%,39%,8%,6%,78%,35%,22%,43%,40%,35%,35%,35%,35%,35%,35%,35%,67.00%,19.20%,35%
accessFacility.pFacilitiesOfferingPostAbortionCare,Proportion of facilities offering post-abortion care services,47%,23%,47%,23%,47%,47%,33%,6%,68%,23%,47%,47%,47%,47%,47%,47%,47%,46.00%,82.00%,47%
accessFacility.pWithinCost,Proportion of women for whom the cost of facility-based care is not a barrier,40%,55%,40%,55%,40%,40%,40%,40%,40%,55%,40%,40%,40%,40%,40%,40%,40%,40.00%,55%,40%
accessOutOfFacility.pWithinDistance,Proportion of women within accessible distance of an out-of-facility provider,45%,60%,45%,60%,45%,45%,45%,45%,45%,60%,45%,45%,45%,45%,45%,45%,45%,45.00%,60%,45%
accessOutOfFacility.pWithinCost,Proportion of women for whom the cost of out-of-facility care is not a barrier,25%,35%,25%,35%,25%,25%,25%,25%,25%,35%,25%,25%,25%,25%,25%,25%,25%,25.00%,35%,25%
