key,fr,pt
"""Add a scenario called 'Improved Access'""","""Ajouter un scénario appelé 'Accès amélioré'""","""Adicionar um cenário chamado 'Acesso Melhorado'"""
"""Compare safety outcomes across all scenarios""","""Comparer les résultats de sécurité dans tous les scénarios""","""Comparar os resultados de segurança em todos os cenários"""
"""What are the key differences between the base case and scenario 1?""","""Quelles sont les principales différences entre le cas de base et le scénario 1 ?""","""Quais são as principais diferenças entre o caso base e o cenário 1?"""
"""Show me the data sources used for this analysis""","""Montrez-moi les sources de données utilisées pour cette analyse""","""Mostre-me as fontes de dados usadas para esta análise"""
"""What happens if we increase facility access to 80%?""","""Que se passe-t-il si nous augmentons l'accès aux établissements à 80% ?""","""O que acontece se aumentarmos o acesso às instalações para 80%?"""
"""Create a summary report for policymakers""","""Créer un rapport de synthèse pour les décideurs""","""Criar um relatório resumido para os formuladores de políticas"""
"""Show me the flow diagram from baseline to outcomes""","""Montrez-moi le diagramme de flux du cas de base aux résultats""","""Mostre-me o diagrama de fluxo do caso base até os resultados"""
"""How many safe abortions would result from improving family planning?""","""Combien d'avortements sécurisés résulteraient de l'amélioration de la planification familiale ?""","""Quantos abortos seguros resultariam da melhoria do planejamento familiar?"""
"""Based on the uploaded documents, what data sources are available for this country?""","""Sur la base des documents téléchargés, quelles sources de données sont disponibles pour ce pays ?""","""Com base nos documentos carregados, quais fontes de dados estão disponíveis para este país?"""
"""Review the uploaded National Strategy for Abortion Care and interpret our analysis findings with reference to the national targets""","""Examiner la Stratégie nationale pour les soins d'avortement téléchargée et interpréter nos résultats d'analyse en référence aux objectifs nationaux""","""Revisar a Estratégia Nacional de Cuidados de Aborto carregada e interpretar nossas conclusões de análise com referência às metas nacionais"""
About,À propos,Sobre
Add scenarios,Ajouter des scénarios,Adicionar cenários
Add or delete scenarios,Ajouter ou supprimer des scénarios,Adicionar ou excluir cenários
AI,IA,IA
AI Analysis Assistant,Assistant d'analyse IA,Assistente de Análise IA
Analyze and compare scenario results,Analyser et comparer les résultats des scénarios,Analisar e comparar resultados de cenários
Are you sure you want to delete this project?,Êtes-vous sûr de vouloir supprimer ce projet?,Tem certeza de que deseja excluir este projeto?
Are you sure you want to delete this scenario?,Êtes-vous sûr de vouloir supprimer ce scénario?,Tem certeza de que deseja excluir este cenário?
Base case,Cas de base,Caso base
Baseline data source,Source des données de référence,Fonte de dados de referência
Cancel,Annuler,Cancelar
Capturing charts...,Capture des graphiques...,Capturando gráficos...
Charts,Graphiques,Gráficos
Clear all data,Effacer toutes les données,Limpar todos os dados
"Click ""Add scenarios"" to create one","Cliquez sur ""Ajouter des scénarios"" pour en créer un","Clique em ""Adicionar cenários"" para criar um"
Country,Pays,País
Country:,Pays :,País:
Country name,Nom du pays,Nome do país
Create,Créer,Criar
Create new project,Créer un nouveau projet,Criar novo projeto
Create new report,Créer un nouveau rapport,Criar novo relatório
